ID,DateTime,Symbol,Quantity,Rate,Side,XRPUSD_BestBid,XRPUSD_BestAsk,XRPEUR_BestBid,XRPEUR_BestAsk,USDEUR_BestBid,USDEUR_BestAsk
411872572,2025-04-08 06:28:26,XRPUSD,153.528,1.86973,Buy,N/A,N/A,N/A,N/A,N/A,N/A
411872579,2025-04-08 06:28:29,XRPUSD,250.0,1.86979,Buy,N/A,N/A,N/A,N/A,N/A,N/A
411872596,2025-04-08 06:28:38,XRPUSD,166.0,1.87038,Buy,N/A,N/A,N/A,N/A,N/A,N/A
2025-04-08 06:28_summary,2025-04-08 06:28:00,XRPUSD,569.528,1.8699457927266088,Buy,1.87046,1.87068,N/A,N/A,N/A,N/A
411872677,2025-04-08 06:29:18,XRPUSD,29.0,1.87221,Buy,N/A,N/A,N/A,N/A,N/A,N/A
411872682,2025-04-08 06:29:20,XRPUSD,59.0,1.87194,Buy,N/A,N/A,N/A,N/A,N/A,N/A
411872731,2025-04-08 06:29:35,XRPUSD,266.01143101,1.87211,Buy,N/A,N/A,N/A,N/A,N/A,N/A
411872745,2025-04-08 06:29:44,XRPUSD,236.0,1.87268,Buy,N/A,N/A,N/A,N/A,N/A,N/A
411872745,2025-04-08 06:29:44,XRPUSD,236.0,1.87268,Buy,N/A,N/A,N/A,N/A,N/A,N/A
411872816,2025-04-08 06:30:01,XRPUSD,298.0,1.87215,Buy,N/A,N/A,N/A,N/A,N/A,N/A
411872830,2025-04-08 06:30:02,XRPUSD,14.27777999,1.87174,Buy,N/A,N/A,N/A,N/A,N/A,N/A
2025-04-08 06:29_summary,2025-04-08 06:29:00,XRPUSD,590.01143101,1.872325911071048,Buy,1.87106,1.87199,N/A,N/A,N/A,N/A
411872853,2025-04-08 06:30:11,XRPUSD,10.3057,1.8724,Buy,N/A,N/A,N/A,N/A,N/A,N/A
411872854,2025-04-08 06:30:11,XRPUSD,4.5e-05,1.8724,Buy,N/A,N/A,N/A,N/A,N/A,N/A
411872860,2025-04-08 06:30:15,XRPUSD,12.49021388,1.87269,Buy,N/A,N/A,N/A,N/A,N/A,N/A
411872892,2025-04-08 06:30:23,XRPUSD,236.0,1.87322,Buy,N/A,N/A,N/A,N/A,N/A,N/A
2025-04-08 06:30_summary,2025-04-08 06:30:00,XRPUSD,571.0737388699999,1.8725982560561374,Buy,1.87264,1.87265,N/A,N/A,N/A,N/A
411873082,2025-04-08 06:31:14,XRPUSD,16.81973515,1.8727,Buy,N/A,N/A,N/A,N/A,N/A,N/A
411873123,2025-04-08 06:31:33,XRPUSD,9.80240659,1.87279,Buy,N/A,N/A,N/A,N/A,N/A,N/A
411873154,2025-04-08 06:31:46,XRPUSD,152.0,1.8744,Buy,N/A,N/A,N/A,N/A,N/A,N/A
411873158,2025-04-08 06:31:49,XRPUSD,407.0,1.8747,Buy,N/A,N/A,N/A,N/A,N/A,N/A
411873169,2025-04-08 06:31:52,XRPUSD,444.0,1.87426,Buy,N/A,N/A,N/A,N/A,N/A,N/A
411873197,2025-04-08 06:32:00,XRPUSD,18.83303348,1.87392,Buy,N/A,N/A,N/A,N/A,N/A,N/A
2025-04-08 06:31_summary,2025-04-08 06:31:00,XRPUSD,1029.62214174,1.8744151167841134,Buy,1.87288,1.87328,N/A,N/A,N/A,N/A
411873210,2025-04-08 06:32:07,XRPUSD,701.0,1.87395,Buy,N/A,N/A,N/A,N/A,N/A,N/A
411873283,2025-04-08 06:32:33,XRPUSD,31.85848538,1.87322,Buy,N/A,N/A,N/A,N/A,N/A,N/A
