ID,DateTime,Symbol,Quantity,Rate,Side,XRPUSD_BestBid,XRPUSD_BestAsk,XRPEUR_BestBid,XRPEUR_BestAsk,EURUSD_BestBid,EURUSD_BestAsk
409930248,2025-03-29 19:07:57,XRPUSD,42.663999999999994,2.12453,Buy,2.1244099999999997,2.12453,1.9628,1.9631599999999998,1.08218,1.0823
409930269,2025-03-29 19:08:17,EURUSD,230.75999,1.08218,Sell,2.12531,2.1255900000000003,1.9638,1.96412,1.08218,1.08228
409930272,2025-03-29 19:08:18,XRPUSD,70.033,2.12607,Buy,2.12568,2.12607,1.9640900000000001,1.96445,1.08218,1.08228
409930285,2025-03-29 19:08:43,XRPUSD,109.102,2.12356,Buy,2.12335,2.12356,1.96196,1.9622700000000002,1.08218,1.08228
409930353,2025-03-29 19:09:15,XRPUSD,1107.0,2.12224,Buy,2.12202,2.12224,1.9606400000000002,1.96098,1.08218,1.08228
409930387,2025-03-29 19:09:56,XRPUSD,2359.14253986,2.11942,Buy,2.11915,2.11947,1.9579099999999998,1.9584,1.08218,1.08228
409930394,2025-03-29 19:10:03,XRPEUR,32.8,1.95819,Sell,2.11957,2.11964,1.95819,1.9585400000000002,1.08218,1.08228
409930402,2025-03-29 19:10:06,XRPUSD,152.85746014,2.11943,Sell,2.11943,2.11952,1.95712,1.9587400000000001,1.08218,1.08228
409930409,2025-03-29 19:10:11,XRPEUR,114.854,1.95776,Buy,2.11841,2.11869,1.9571900000000002,1.9579799999999998,1.08218,1.08228
409930410,2025-03-29 19:10:12,XRPUSD,60.0,2.11869,Buy,2.11844,2.1188700000000003,1.95728,1.9576799999999999,1.08218,1.08228
409930418,2025-03-29 19:10:16,XRPUSD,100.461,2.11855,Sell,2.11855,2.11901,1.95734,1.9579900000000001,1.08218,1.08228
409930421,2025-03-29 19:10:16,XRPUSD,25.629995,2.11912,Sell,2.11912,2.11938,1.95795,1.9583599999999999,1.08218,1.08228
409930445,2025-03-29 19:10:40,XRPUSD,9.381,2.11862,Buy,2.11858,2.11862,1.95753,1.9576099999999999,1.08218,1.08228
409930446,2025-03-29 19:10:40,XRPUSD,945.0,2.11862,Buy,2.11858,2.11862,1.95753,1.9576099999999999,1.08218,1.08228
409930451,2025-03-29 19:10:44,XRPEUR,59.4,1.95753,Sell,2.11782,2.11876,1.95753,1.9577799999999999,1.08218,1.08228
409930463,2025-03-29 19:11:05,XRPUSD,1995.0,2.11922,Buy,2.11859,2.11923,1.9574799999999999,1.9582099999999998,1.08218,1.08228
409930492,2025-03-29 19:11:21,XRPEUR,47.725,1.9565599999999999,Buy,2.11712,2.11732,1.95603,1.95643,1.08218,1.08228
409930518,2025-03-29 19:11:35,XRPUSD,947.0,2.11804,Buy,2.11784,2.11804,1.95671,1.95707,1.08218,1.08228
409930542,2025-03-29 19:11:54,XRPUSD,1676.5999528,2.11847,Sell,2.11847,2.11848,1.95643,1.95708,1.08218,1.08228
409930545,2025-03-29 19:11:58,XRPUSD,52.305649,2.11754,Buy,2.1171599999999997,2.11754,1.95616,1.9566299999999999,1.08218,1.08228
409930548,2025-03-29 19:12:04,XRPEUR,27.778000000000002,1.95705,Buy,2.11767,2.11786,1.9566700000000001,1.95705,1.08218,1.08228
409930559,2025-03-29 19:12:23,XRPUSD,10.3567,2.11786,Buy,2.11785,2.11786,1.95707,1.9576900000000002,1.08218,1.08228
409930560,2025-03-29 19:12:23,XRPUSD,1.4000000000000001e-05,2.11786,Buy,2.11785,2.11786,1.95707,1.9576900000000002,1.08218,1.08228
409930566,2025-03-29 19:12:26,XRPUSD,18.340435999999997,2.11899,Sell,2.11899,2.11922,1.95783,1.95822,1.08218,1.08228
409930576,2025-03-29 19:12:44,XRPUSD,1292.52036,2.11717,Sell,2.11717,2.11738,1.95612,1.95648,1.08218,1.08228
409930598,2025-03-29 19:12:59,XRPUSD,6.0,2.11859,Sell,2.11859,2.1188,1.95743,1.9578200000000001,1.08218,1.08228
409930601,2025-03-29 19:13:06,XRPUSD,128.839,2.1192,Buy,2.11902,2.1192,1.9578400000000002,1.9582400000000002,1.08218,1.08228
409930611,2025-03-29 19:13:16,XRPEUR,74.695,1.9577799999999999,Buy,2.11853,2.11881,1.9574099999999999,1.9577799999999999,1.08218,1.08228
409930671,2025-03-29 19:14:04,XRPUSD,53.48,2.11726,Buy,2.11637,2.1173900000000003,1.95583,1.95619,1.08218,1.08228
409930680,2025-03-29 19:14:12,XRPUSD,359.10900000000004,2.11636,Sell,2.11636,2.11659,1.9553900000000002,1.95576,1.08218,1.08228
409930687,2025-03-29 19:14:17,XRPUSD,64.134,2.11611,Buy,2.11591,2.11603,1.95492,1.95523,1.08218,1.08228
409930699,2025-03-29 19:14:23,XRPEUR,485.0,1.9558400000000002,Buy,2.1169599999999997,2.1171599999999997,1.9558099999999998,1.9558400000000002,1.08218,1.08228
409930739,2025-03-29 19:14:48,XRPEUR,235.139,1.9571,Buy,2.1172299999999997,2.11801,1.956,1.9571,1.08218,1.08228
409930763,2025-03-29 19:15:07,XRPEUR,2360.49664964,1.9563700000000002,Buy,2.1170400000000003,2.11726,1.956,1.9563700000000002,1.08218,1.08228
409930764,2025-03-29 19:15:07,XRPEUR,1104.43535036,1.9565099999999997,Buy,2.1170400000000003,2.11726,1.956,1.9563700000000002,1.08218,1.08228
409930768,2025-03-29 19:15:10,XRPUSD,100.0,2.1173900000000003,Buy,2.11727,2.1173900000000003,1.95618,1.9565299999999999,1.08218,1.08228
409930777,2025-03-29 19:15:13,XRPUSD,30.160999999999998,2.1173900000000003,Buy,2.11721,2.1173900000000003,1.95618,1.9565099999999997,1.08218,1.08228
409930796,2025-03-29 19:15:23,XRPUSD,25.0,2.1142,Buy,2.1137099999999998,2.11421,1.9525299999999999,1.9539900000000001,1.08218,1.08228
409930831,2025-03-29 19:16:05,XRPUSD,4980.64871494,2.11248,Sell,2.11248,2.11268,1.9510900000000002,1.9520400000000002,1.08218,1.08228
409930833,2025-03-29 19:16:05,XRPUSD,328.0,2.11248,Sell,2.11248,2.11268,1.9510900000000002,1.9520400000000002,1.08218,1.08228
409930834,2025-03-29 19:16:05,XRPUSD,400.0,2.11248,Sell,2.11248,2.11268,1.9510900000000002,1.9520400000000002,1.08218,1.08228
409930835,2025-03-29 19:16:05,XRPUSD,903.41498506,2.11248,Sell,2.11248,2.11268,1.9510900000000002,1.9520400000000002,1.08218,1.08228
409930836,2025-03-29 19:16:05,XRPUSD,10.3567,2.11248,Sell,2.11248,2.11268,1.9510900000000002,1.9520400000000002,1.08218,1.08228
409930838,2025-03-29 19:16:05,XRPUSD,1081.5796,2.11248,Sell,2.11248,2.11268,1.9504700000000001,1.95192,1.08218,1.08228
409930841,2025-03-29 19:16:06,XRPEUR,47.75899999999999,1.95135,Buy,2.1116,2.11197,1.9504,1.95135,1.08218,1.08228
409930858,2025-03-29 19:16:17,XRPUSD,118.32807167,2.11258,Sell,2.1125700000000003,2.11312,1.95183,1.9525299999999999,1.08218,1.08228
409930864,2025-03-29 19:16:19,XRPUSD,287.08099999999996,2.11294,Sell,2.11292,2.11329,1.95202,1.9525299999999999,1.08218,1.08228
409930876,2025-03-29 19:16:35,XRPUSD,587.0,2.11362,Buy,2.11342,2.11362,1.9526400000000002,1.95287,1.08218,1.08228
409930908,2025-03-29 19:17:00,XRPUSD,43.885963000000004,2.11389,Sell,2.11389,2.1139,1.9527,1.95297,1.08218,1.08228
409930909,2025-03-29 19:17:00,XRPEUR,87.266,1.9523700000000002,Sell,2.11275,2.11373,1.9522700000000002,1.95295,1.08218,1.08228
409930962,2025-03-29 19:17:20,XRPEUR,4623.0,1.95511,Buy,2.11525,2.116,1.9545599999999999,1.95511,1.08218,1.08228
409930963,2025-03-29 19:17:20,XRPUSD,2363.0192899999997,2.11594,Buy,2.11525,2.116,1.9545599999999999,1.95511,1.08218,1.08228
409930964,2025-03-29 19:17:20,XRPUSD,3.14e-06,2.11594,Buy,2.11525,2.116,1.9545599999999999,1.95511,1.08218,1.08228
409930965,2025-03-29 19:17:20,XRPUSD,2362.96012741,2.11599,Buy,2.11525,2.116,1.9545599999999999,1.95511,1.08218,1.08228
409930966,2025-03-29 19:17:20,XRPUSD,255.43986945,2.116,Buy,2.11525,2.116,1.9545599999999999,1.95511,1.08218,1.08228
409930967,2025-03-29 19:17:20,XRPEUR,2361.96426,1.9551599999999998,Buy,2.1156599999999997,2.116,1.9547299999999999,1.9551599999999998,1.08218,1.08228
409931006,2025-03-29 19:18:02,XRPEUR,47.045,1.9536,Buy,2.11343,2.11426,1.9526,1.9536,1.08218,1.08229
409931044,2025-03-29 19:18:53,XRPUSD,1932.49992484,2.11691,Sell,2.1169,2.1171599999999997,1.95515,1.9551599999999998,1.08218,1.0823200000000002
409931045,2025-03-29 19:18:53,XRPUSD,83.71296916,2.11682,Sell,2.1169,2.1171599999999997,1.95515,1.9551599999999998,1.08218,1.0823200000000002
409931051,2025-03-29 19:19:01,XRPEUR,2.64e-06,1.9551599999999998,Buy,2.11777,2.11879,1.95515,1.9551599999999998,1.08218,1.0823200000000002
409931097,2025-03-29 19:19:47,XRPUSD,535.92205845,2.12146,Buy,2.12049,2.12163,1.9592200000000002,1.95987,1.08218,1.0823200000000002
409931117,2025-03-29 19:20:07,XRPUSD,59.405,2.12037,Sell,2.12036,2.12063,1.95902,1.95973,1.08218,1.08233
409931145,2025-03-29 19:20:25,XRPUSD,18.0,2.11942,Buy,2.1194,2.11943,1.9578200000000001,1.95823,1.08218,1.08233
409931163,2025-03-29 19:20:40,XRPUSD,12.283535,2.1194,Sell,2.1194,2.11955,1.9574,1.9582400000000002,1.08218,1.08233
409931169,2025-03-29 19:20:42,XRPUSD,24.677816,2.11889,Buy,2.1185400000000003,2.11889,1.9572599999999998,1.9578900000000001,1.08218,1.08233
409931174,2025-03-29 19:20:44,XRPUSD,9.379,2.1185400000000003,Buy,2.11829,2.1185400000000003,1.95714,1.95755,1.08218,1.08233
409931196,2025-03-29 19:21:00,XRPUSD,197.771928,2.11888,Buy,2.11828,2.11889,1.95715,1.95807,1.08218,1.08233
409931237,2025-03-29 19:21:16,XRPUSD,218.767,2.11651,Buy,2.11632,2.1165700000000003,1.9553,1.9557099999999998,1.08218,1.08233
409931261,2025-03-29 19:21:31,XRPUSD,643.7852059999999,2.1147,Buy,2.11455,2.11484,1.95355,1.95403,1.08218,1.0823200000000002
409931273,2025-03-29 19:21:35,XRPUSD,1135.0,2.11455,Sell,2.11455,2.11456,1.9529400000000001,1.95383,1.08218,1.0823200000000002
409931311,2025-03-29 19:22:06,XRPEUR,5.0584731,1.9573099999999999,Buy,2.11804,2.11828,1.9569299999999998,1.9573099999999999,1.08218,1.08233
409931329,2025-03-29 19:22:17,XRPUSD,117.92786588,2.1183400000000003,Sell,2.1183400000000003,2.1185099999999997,1.95661,1.95753,1.08218,1.0823200000000002
409931337,2025-03-29 19:22:19,XRPUSD,11.120999999999999,2.11861,Buy,2.11837,2.11861,1.95723,1.9575900000000002,1.08218,1.0823200000000002
409931353,2025-03-29 19:22:35,XRPUSD,947.0,2.11984,Buy,2.11968,2.11984,1.9584400000000002,1.9588,1.08218,1.08233
409931379,2025-03-29 19:22:59,XRPUSD,46.893,2.11935,Buy,2.11901,2.11935,1.9579099999999998,1.9583400000000002,1.08218,1.0823200000000002
409931382,2025-03-29 19:23:04,XRPUSD,52.0,2.1200200000000002,Sell,2.1200099999999997,2.12017,1.9587700000000001,1.9590900000000002,1.08218,1.0823200000000002
409931387,2025-03-29 19:23:06,XRPEUR,22.811,1.95885,Buy,2.11902,2.1199,1.9571,1.9588599999999998,1.08218,1.0823200000000002
409931401,2025-03-29 19:23:27,XRPEUR,144.4122971,1.9570900000000002,Buy,2.11763,2.11793,1.9564,1.95669,1.08218,1.08233
409931404,2025-03-29 19:23:34,XRPUSD,21.596999999999998,2.11836,Buy,2.11816,2.11843,1.95705,1.9575,1.08218,1.08233
409931412,2025-03-29 19:23:50,XRPUSD,1096.0,2.11767,Buy,2.11765,2.11767,1.95628,1.9566400000000002,1.08218,1.0823200000000002
409931414,2025-03-29 19:24:01,XRPUSD,48.541101,2.11793,Buy,2.1177,2.11793,1.9567,1.95711,1.08218,1.0823
409931415,2025-03-29 19:24:01,XRPUSD,17.160218,2.1179099999999997,Buy,2.1177,2.1179200000000002,1.9567,1.9572,1.08218,1.0823
409931417,2025-03-29 19:24:04,XRPEUR,30.7107,1.95678,Sell,2.11802,2.11822,1.95678,1.95724,1.08218,1.08229
409931442,2025-03-29 19:24:22,XRPUSD,81.66533299999999,2.11836,Buy,2.11816,2.11836,1.95717,1.9575599999999997,1.08218,1.08225
409931456,2025-03-29 19:24:38,XRPUSD,8.26035012,2.1179799999999998,Sell,2.1179799999999998,2.1179900000000003,1.95655,1.9568900000000002,1.08217,1.0822399999999999
409931457,2025-03-29 19:24:38,XRPUSD,0.08343788,2.1179799999999998,Sell,2.1179799999999998,2.1179900000000003,1.95655,1.9568900000000002,1.08217,1.0822399999999999
409931486,2025-03-29 19:24:56,XRPUSD,2361.13763404,2.11763,Buy,2.11758,2.11763,1.9565400000000002,1.9569400000000001,1.08217,1.0822399999999999
409931497,2025-03-29 19:24:59,XRPUSD,3524.86236596,2.11765,Sell,2.11765,2.11769,1.9560799999999998,1.9564700000000002,1.08217,1.0822399999999999
409931520,2025-03-29 19:25:06,XRPUSD,10.0,2.1168,Buy,2.1165700000000003,2.1168099999999996,1.9558,1.9561400000000002,1.08217,1.0822399999999999
409931586,2025-03-29 19:25:49,XRPUSD,25.0,2.11872,Buy,2.11844,2.11859,1.9575900000000002,1.95775,1.08217,1.0822399999999999
409931602,2025-03-29 19:26:06,XRPEUR,47.766999999999996,1.9573599999999998,Buy,2.1175,2.11774,1.9565299999999999,1.9569999999999999,1.08217,1.0822399999999999
409931634,2025-03-29 19:26:27,XRPUSD,10.0,2.11976,Buy,2.11928,2.11977,1.95815,1.9587900000000003,1.08217,1.0822200000000002
409931644,2025-03-29 19:26:33,XRPEUR,117.007,1.9587599999999998,Buy,2.11944,2.1196200000000003,1.95826,1.9587599999999998,1.08217,1.0822200000000002
409931650,2025-03-29 19:26:38,XRPUSD,675.0,2.11945,Buy,2.11905,2.1194599999999997,1.9577900000000001,1.9585599999999999,1.08217,1.0822200000000002
409931651,2025-03-29 19:26:38,XRPUSD,302.0,2.11945,Buy,2.11905,2.1194599999999997,1.9577900000000001,1.9585599999999999,1.08217,1.0822200000000002
409931652,2025-03-29 19:26:38,XRPUSD,278.35625356,2.1194599999999997,Buy,2.11905,2.1194599999999997,1.9577900000000001,1.9585599999999999,1.08217,1.0822200000000002
409931656,2025-03-29 19:26:41,XRPUSD,232.45310446,2.11931,Buy,2.11905,2.11932,1.95812,1.9584400000000002,1.08217,1.0822200000000002
