open_time,open,high,low,close,volume,quote_volume,count,taker_buy_volume,taker_buy_quote_volume,ignore
1743811200,2.1303,2.1315,2.1287,2.1287,139483.0,297155.0834,939,84399.0,179821.2964,0
1743811260,2.1286,2.1298,2.1284,2.1292,19853.0,42269.9576,350,11487.0,24457.0048,0
1743811320,2.1292,2.1301,2.128,2.128,31477.0,67015.5924,566,9759.0,20776.9529,0
1743811380,2.128,2.1287,2.1273,2.1278,53494.0,113836.8039,628,10646.0,22656.3614,0
1743811440,2.1277,2.1277,2.1243,2.1264,65472.0,139145.3432,1003,10410.0,22124.8913,0
1743811500,2.1265,2.1268,2.1244,2.1244,20899.0,44429.8485,522,991.0,2106.8968,0
1743811560,2.1243,2.1252,2.1235,2.1241,22306.0,47385.786,561,6926.0,14711.401,0
1743811620,2.1242,2.1252,2.1236,2.1244,33397.0,70947.2126,647,18500.0,39296.1963,0
1743811680,2.1243,2.125,2.1236,2.1241,53943.0,114589.624,826,32264.0,68528.4281,0
1743811740,2.1242,2.1242,2.1192,2.1192,178578.0,378777.503,1339,37421.0,79347.4169,0
1743811800,2.1193,2.1216,2.1184,2.1216,99051.0,209934.2326,1075,48714.0,103236.6513,0
1743811860,2.1215,2.1231,2.1212,2.1228,36874.0,78269.0463,721,17377.0,36886.4859,0
1743811920,2.1228,2.1233,2.1224,2.1225,32088.0,68121.8304,799,8118.0,17233.8491,0
1743811980,2.1225,2.125,2.1225,2.125,67959.0,144341.5532,586,7612.0,16163.4723,0
1743812040,2.1249,2.1261,2.1249,2.1261,32023.0,68071.2019,584,6820.0,14495.143,0
1743812100,2.1261,2.129,2.1261,2.129,79321.0,168776.285,941,67347.0,143300.4086,0
1743812160,2.129,2.1304,2.128,2.1294,108394.0,230785.4625,902,84040.0,178923.4814,0
1743812220,2.1295,2.13,2.1291,2.1298,16159.0,34412.5861,461,8576.0,18264.2803,0
1743812280,2.1298,2.1302,2.1289,2.1291,38380.0,81736.781,635,6251.0,13310.291,0
1743812340,2.1291,2.1315,2.1291,2.1308,42656.0,90878.9565,855,16909.0,36022.3806,0
1743812400,2.1308,2.131,2.1295,2.13,21183.0,45126.2629,368,5156.0,10985.552,0
1743812460,2.13,2.13,2.1278,2.1281,13486.0,28705.2275,503,2357.0,5016.607,0
1743812520,2.1281,2.1287,2.127,2.1286,42234.0,89864.4779,312,36948.0,78615.7909,0
1743812580,2.1287,2.1287,2.1268,2.1268,15086.0,32103.7015,333,5062.0,10773.5532,0
1743812640,2.1268,2.1269,2.1253,2.1253,10549.0,22432.6777,348,948.0,2015.939,0
1743812700,2.1253,2.1254,2.124,2.1243,38723.0,82272.6615,607,18177.0,38620.3888,0
1743812760,2.1242,2.1242,2.1217,2.1218,30375.0,64488.9682,477,4863.0,10325.2791,0
1743812820,2.1218,2.125,2.1215,2.1247,149575.0,317526.1095,639,137845.0,292620.8156,0
1743812880,2.1248,2.1252,2.1246,2.125,16074.0,34156.1592,242,8350.0,17742.9535,0
1743812940,2.125,2.1262,2.1249,2.126,42735.0,90833.1733,275,17735.0,37689.2325,0
1743813000,2.126,2.1267,2.1252,2.1267,32106.0,68251.8413,460,7933.0,16865.9224,0
1743813060,2.1267,2.1272,2.1259,2.1266,25438.0,54090.6538,536,19431.0,41316.919,0
1743813120,2.1265,2.1272,2.1257,2.1263,30214.0,64248.372,543,6482.0,13781.8394,0
1743813180,2.1264,2.1276,2.1264,2.1271,20647.0,43918.8754,333,13684.0,29105.9827,0
1743813240,2.127,2.127,2.1261,2.1261,18986.0,40370.9204,370,3472.0,7382.8349,0
1743813300,2.1261,2.1266,2.1257,2.1257,35400.0,75268.0578,348,4442.0,9443.6951,0
1743813360,2.1258,2.1258,2.125,2.1252,14447.0,30706.0811,308,4213.0,8953.8681,0
1743813420,2.1251,2.1251,2.1236,2.124,24864.0,52821.0454,420,4802.0,10200.4974,0
1743813480,2.1239,2.1239,2.1222,2.1228,34997.0,74297.3082,666,13698.0,29075.4337,0
1743813540,2.1228,2.1229,2.122,2.1228,17005.0,36092.4166,383,12346.0,26203.4281,0
1743813600,2.1228,2.1231,2.1195,2.1207,87538.0,185626.5083,994,44462.0,94273.8315,0
1743813660,2.1207,2.1209,2.1186,2.119,73676.0,156174.3762,722,17917.0,37971.5464,0
1743813720,2.1191,2.1195,2.1184,2.1187,33213.0,70375.7451,370,12564.0,26621.2287,0
1743813780,2.1187,2.1208,2.1184,2.1208,86606.0,183529.2921,668,57392.0,121629.5695,0
1743813840,2.1208,2.1211,2.1198,2.121,42114.0,89301.5976,573,20083.0,42585.577,0
1743813900,2.1211,2.1252,2.1211,2.1246,45808.0,97250.0197,691,27620.0,58619.1141,0
1743813960,2.1247,2.126,2.1242,2.126,25453.0,54081.6996,513,18349.0,38986.4177,0
1743814020,2.1261,2.1283,2.1253,2.1283,30910.0,65735.5661,656,23158.0,49251.7239,0
